0	0.410276560226667	6628.411357	0.026955	0.024878
3521.58111	0.410276560226667	6879.881366	0.027978	0.033721
7285.606584	0.410276560226667	7126.480058	0.028980	0.015960
11308.95546	0.410276560226667	7365.995307	0.029954	0.015382
15609.018262	1.65306819349333	1911.806611	0.007775	0.004386
20205.231458	1.65306819349333	2024.583603	0.008233	0.005055
25118.054488	1.70029710578	2083.435640	0.008472	0.005467
30368.969764	1.70029710578	2204.096391	0.008963	0.006059
35980.994156	2.11852897826	1872.264949	0.007614	0.005336
41980.21345	2.11852897826	1982.551314	0.008062	0.005770
48391.69046	2.45831765282667	1809.346253	0.007358	0.005407
55245.091374	2.45831765282667	1916.328405	0.007793	0.005865
62570.593866	2.46197818763333	2025.359620	0.008236	0.006391
70399.910068	2.46197818763333	2142.357932	0.008712	0.006981
78768.332514	2.27950044227333	2444.580602	0.009941	0.008219
87713.199682	2.27950044227333	2579.370498	0.010489	0.008959
97273.895994	2.09984609963333	2949.932771	0.011996	0.010527
107492.874788	2.09984609963333	3102.760159	0.012618	0.011391
118415.146832	1.98336880276	3449.466683	0.014028	0.012966
130089.303296	1.98336880276	3615.800713	0.014704	0.013945
142567.515752	1.95008640874	3848.937567	0.015652	0.015171
155905.024688	1.95008640874	4021.753242	0.016355	0.016210
170160.650994	2.02722702230667	4038.107078	0.016421	0.016581
185397.307448	2.02722702230667	4210.124191	0.017121	0.017567
201683.533174	2.21935309858	4007.556774	0.016297	0.016952
219090.936212	2.21935309858	4174.172354	0.016975	0.017820
237696.750948	2.48274451923333	3885.681401	0.015801	0.016741
257583.838114	2.48274451923333	4045.579373	0.016452	0.017512
278839.661816	2.73825394062667	3817.525458	0.015524	0.016626
301559.35845	2.73825394062667	3971.438372	0.016150	0.017345
325843.179272	2.91416932060667	3878.597392	0.015773	0.017010
351799.047828	2.91416932060667	4027.366483	0.016378	0.017704
379541.536982	2.97493556236	4089.663804	0.016631	0.018028
409194.426346	2.97493556236	4232.059314	0.017210	0.018705
440889.167822	2.92860686543333	4437.450212	0.018045	0.019653
474765.908574	2.92860686543333	4567.962368	0.018576	0.020293
510974.514	2.82056908756	4865.705911	0.019787	0.021651
549676.613676	2.82056908756	4973.322199	0.020224	0.022195
591043.043926	2.70976928528667	5269.288397	0.021428	0.023539
635257.93971	2.70976928528667	5339.757411	0.021715	0.023897
682516.68868	2.64383362502667	5521.522226	0.022454	0.024710
733029.511582	2.64383362502667	5544.055759	0.022545	0.024803
787019.927798	2.64324882603333	5543.898078	0.022545	0.024769
844727.312776	2.64324882603333	5516.956863	0.022435	0.024586
906407.921002	2.69886781367333	5355.067987	0.021777	0.023811
972335.397486	2.69886781367333	5284.269998	0.021489	0.023405
1042801.800734	2.78152736118	5038.466975	0.020489	0.022263
1118120.160178	2.78152736118	4929.467250	0.020046	0.021698
1198623.453204	2.85551892594	4675.367505	0.019013	0.020542
1284670.231498	2.85551892594	4529.212956	0.018418	0.019848
1376640.529158	2.89146445706667	4306.731915	0.017514	0.018859
1474943.534984	2.89146445706667	4119.869012	0.016754	0.018026
1580014.012076	2.87661772344	3929.879574	0.015981	0.017202
1692318.947152	2.87661772344	3697.571418	0.015036	0.016201
1812356.01609	2.78289132384667	3555.864898	0.014460	0.015596
1940657.675816	2.78289132384667	3268.163370	0.013290	0.014366
2077792.698762	2.78289132384667	2972.508500	0.012088	0.013098
2224369.753268	2.78289132384667	2673.546314	0.010872	0.011810
