label,x,y,plot_type,plot_num
CEU,0.0,57.47699858930113,path,0
CEU,1333.5471429437796,57.47699858930113,path,0
CEU,1497.0268921793172,57.47699858930113,path,0
CEU,1680.5476490024207,312.9051686149771,path,0
CEU,1886.566243613793,312.9051686149771,path,0
CEU,2117.8406894060818,839.0578208571103,path,0
CEU,2377.46710505768,839.0578208571103,path,0
CEU,2668.921162911677,1288.3073148018905,path,0
CEU,2996.1046185179516,1744.140919314495,path,0
CEU,3363.3975442389874,1744.140919314495,path,0
CEU,3775.7169661814582,2448.998152962354,path,0
CEU,4238.582689438256,2448.998152962354,path,0
CEU,4758.191192857071,3576.43698636362,path,0
CEU,5341.498582580009,3576.43698636362,path,0
CEU,5996.313714870366,5034.136124879219,path,0
CEU,6731.402734881071,5034.136124879219,path,0
CEU,7556.6064308468185,6363.735709225035,path,0
CEU,8482.97197474463,6363.735709225035,path,0
CEU,9522.900813062275,6619.214124183312,path,0
CEU,10690.31468751872,6619.214124183312,path,0
CEU,12000.842008290174,6619.214124183312,path,0
CEU,13472.02707475864,4757.926272157874,path,0
CEU,15123.564944664127,4757.926272157874,path,0
CEU,16977.565095902333,4757.926272157874,path,0
CEU,19058.847410662718,4757.926272157874,path,0
CEU,21395.274444307433,2198.926112635634,path,0
CEU,24018.124427143266,2198.926112635634,path,0
CEU,26962.509992538202,2198.926112635634,path,0
CEU,30267.84823698199,1466.2991721409703,path,0
CEU,33978.38840488193,1466.2991721409703,path,0
CEU,38143.80426231892,2257.429761854435,path,0
CEU,42819.85908999306,2257.429761854435,path,0
CEU,48069.15219775701,2257.429761854435,path,0
CEU,53961.956954480556,4071.9812482811394,path,0
CEU,60577.16155212504,4071.9812482811394,path,0
CEU,68003.32509823037,4071.9812482811394,path,0
CEU,76339.86317494245,4071.9812482811394,path,0
CEU,85698.37873590375,11689.035342578723,path,0
CEU,96204.15615799843,11689.035342578723,path,0
CEU,107997.83844913068,11689.035342578723,path,0
CEU,121237.31006516214,11689.035342578723,path,0
CEU,136099.81054166707,11689.035342578723,path,0
CEU,152784.30723612988,11689.035342578723,path,0
CEU,171514.15894497267,16066.332491916208,path,0
CEU,192540.1060538033,16066.332491916208,path,0
CEU,216143.6272506437,16066.332491916208,path,0
CEU,242640.70773914698,16066.332491916208,path,0
CEU,272386.06939765206,11258.021853945962,path,0
CEU,305777.91951408924,11258.021853945962,path,0
CEU,343263.2816690253,11258.021853945962,path,0
CEU,385343.9801324808,11258.021853945962,path,0
CEU,432583.3578888751,11267.591285947947,path,0
CEU,485613.81822568073,11267.591285947947,path,0
CEU,545145.2908465873,5533.881700408022,path,0
CEU,611974.7358467864,5533.881700408022,path,0
CEU,686996.8127820411,5533.881700408022,path,0
CEU,771215.8576605737,5533.881700408022,path,0
CEU,865759.3281962347,13932.4380322414,path,0
CEU,971892.8973173193,13932.4380322414,path,0
CEU,1091037.3969909488,13932.4380322414,path,0
CEU,1224787.8391934955,13932.4380322414,path,0
CEU,1374934.7686646876,13932.4380322414,path,0
CEU,1543488.233299121,13932.4380322414,path,0
CEU,1732704.693071762,13932.4380322414,path,0
CEU,1945117.2277327538,13932.4380322414,path,0
CEU,2183569.4476681678,13932.4380322414,path,0
CEU,2451253.561898407,13932.4380322414,path,0
CEU,2751753.1128383665,13932.4380322414,path,0
CEU,3089090.9499184084,13932.4380322414,path,0
CEU,3467783.0842989306,13932.4380322414,path,0
CEU,3892899.1456426512,13932.4380322414,path,0
CEU,4370130.2502918895,13932.4380322414,path,0
CEU,4905865.189416177,13932.4380322414,path,0
CEU,5507275.957076548,13932.4380322414,path,0
CEU,6182413.763188387,13932.4380322414,path,0
CEU,6940316.8167281905,13932.4380322414,path,0
CEU,7791131.322100159,13932.4380322414,path,0
CEU,8746247.308465978,13932.4380322414,path,0
CEU,9818451.110413074,13932.4380322414,path,0
CEU,11022096.54125135,13932.4380322414,path,0
CEU,12373297.050470702,13932.4380322414,path,0
CEU,13890141.437810848,13932.4380322414,path,0
CEU,15592936.011752047,13932.4380322414,path,0
CEU,17504476.43425248,13932.4380322414,path,0
CEU,19650352.890973777,13932.4380322414,path,0
CEU,22059292.672371242,13932.4380322414,path,0
CEU,24763544.75185292,13932.4380322414,path,0
CEU,27799311.50943397,13932.4380322414,path,0
CEU,31207233.38046034,13932.4380322414,path,0
CEU,35032932.91749396,13932.4380322414,path,0
CEU,39327625.54882815,13932.4380322414,path,0
CEU,44148805.20998285,13932.4380322414,path,0
CEU,49561014.026871175,13932.4380322414,path,0
CEU,55636706.35454272,13932.4380322414,path,0
CEU,62457218.7385697,13932.4380322414,path,0
CEU,70113858.78414842,13932.4380322414,path,0
CEU,78709127.50983147,13932.4380322414,path,0
CEU,88358091.54979087,13932.4380322414,path,0
CEU,99189923.57456946,13932.4380322414,path,0
CEU,111349631.55224709,13932.4380322414,path,0
CEU,124999999.99999997,35397.521652561336,path,0
