label,x,y,plot_type,plot_num
CEU,0.0,2.0000000000000004,path,0
CEU,1.901844748063111,2.0000000000000004,path,0
CEU,2.2810882177627634,2.0000000000000004,path,0
CEU,2.7359559514599403,14.689974756152566,path,0
CEU,3.2815280487795526,82.92567957154135,path,0
CEU,3.935891705120753,230.51040632819308,path,0
CEU,4.720740851262803,301.91599015214365,path,0
CEU,5.662095366035416,301.91599015214365,path,0
CEU,6.791163705905151,280.5609994509307,path,0
CEU,8.145377549989295,312.2588155329788,path,0
CEU,9.769632761786994,515.0599149785219,path,0
CEU,11.717777808876054,515.0599149785219,path,0
CEU,14.054398985727378,996.2373647280489,path,0
CEU,16.85696162461721,996.2373647280489,path,0
CEU,20.21837828158903,1514.1492916497382,path,0
CEU,24.250089039798333,1514.1492916497382,path,0
CEU,29.085756050654382,1514.1492916497382,path,0
CEU,34.88569479682262,1514.1492916497382,path,0
CEU,41.84218898548027,1514.1492916497382,path,0
CEU,50.18586527495803,1514.1492916497382,path,0
CEU,60.193339174253815,1514.1492916497382,path,0
CEU,72.19638559773321,1514.1492916497382,path,0
CEU,86.59293810378959,1514.1492916497382,path,0
CEU,103.860281472071,1514.1492916497382,path,0
CEU,124.57087498900488,1514.1492916497382,path,0
CEU,149.41133102647322,1514.1492916497382,path,0
CEU,179.2051781050165,1514.1492916497382,path,0
CEU,214.9401630988785,1514.1492916497382,path,0
CEU,257.800997725072,1514.1492916497382,path,0
CEU,309.20863495143305,1514.1492916497382,path,0
CEU,370.8673774431637,1514.1492916497382,path,0
CEU,444.82137982069565,1514.1492916497382,path,0
CEU,533.5224179320301,1514.1492916497382,path,0
CEU,639.911171874829,1514.1492916497382,path,0
CEU,767.5147175209888,1514.1492916497382,path,0
CEU,920.5634586522752,1514.1492916497382,path,0
CEU,1104.1313763246044,1514.1492916497382,path,0
CEU,1324.304245107949,1514.1492916497382,path,0
CEU,1588.3813930266765,1514.1492916497382,path,0
CEU,1905.1176940897817,1514.1492916497382,path,0
CEU,2285.01381612005,1514.1492916497382,path,0
CEU,2740.664346385233,1514.1492916497382,path,0
CEU,3287.1753363405355,1514.1492916497382,path,0
CEU,3942.665108223602,1514.1492916497382,path,0
CEU,4728.864926599553,1514.1492916497382,path,0
CEU,5671.83944874761,1514.1492916497382,path,0
CEU,6802.850838774607,1514.1492916497382,path,0
CEU,8159.395193182896,1514.1492916497382,path,0
CEU,9786.445638212523,1514.1492916497382,path,0
CEU,11737.943311007608,1514.1492916497382,path,0
CEU,14078.585654678356,984.0799611763049,path,0
CEU,16885.971314092225,984.0799611763049,path,0
CEU,20253.17274151001,984.0799611763049,path,0
CEU,24291.821800924077,984.0799611763049,path,0
CEU,29135.810667255235,3042.021894888562,path,0
CEU,34945.73071525872,3042.021894888562,path,0
CEU,41914.19655935118,3042.021894888562,path,0
CEU,50272.2317507253,3931.4768619724673,path,0
CEU,60296.927834938695,3931.4768619724673,path,0
CEU,72320.63068851807,3931.4768619724673,path,0
CEU,86741.95868656482,4930.142157907352,path,0
CEU,104039.01798351278,4930.142157907352,path,0
CEU,124785.253029457,4132.197872868422,path,0
CEU,149668.45780967697,4132.197872868422,path,0
CEU,179513.5780815312,5279.8905606505905,path,0
CEU,215310.06056474813,5279.8905606505905,path,0
CEU,258244.65578498197,3195.627535443409,path,0
CEU,309740.7620739054,3195.627535443409,path,0
CEU,371505.61508619983,3195.627535443409,path,0
CEU,445586.88729397644,9041.107424271122,path,0
CEU,534440.5738854478,9041.107424271122,path,0
CEU,641012.4156695935,9041.107424271122,path,0
CEU,768835.5583770454,9041.107424271122,path,0
CEU,922147.6860280163,9041.107424271122,path,0
CEU,1106031.5116562294,9041.107424271122,path,0
CEU,1326583.2830375913,9041.107424271122,path,0
CEU,1591114.889845718,9041.107424271122,path,0
CEU,1908396.2726349323,9041.107424271122,path,0
CEU,2288946.170166283,9041.107424271122,path,0
CEU,2745380.844139358,9041.107424271122,path,0
CEU,3292832.3425009996,9041.107424271122,path,0
CEU,3949450.1678945324,9041.107424271122,path,0
CEU,4737002.982919838,9041.107424271122,path,0
CEU,5681600.300366333,9041.107424271122,path,0
CEU,6814558.084408339,9041.107424271122,path,0
CEU,8173436.9597912,9041.107424271122,path,0
CEU,9803287.44845986,9041.107424271122,path,0
CEU,11758143.516602807,9041.107424271122,path,0
CEU,14102813.94724878,9041.107424271122,path,0
CEU,16915030.927278418,9041.107424271122,path,0
CEU,20288027.08034039,9041.107424271122,path,0
CEU,24333626.381305758,9041.107424271122,path,0
CEU,29185951.424461775,9041.107424271122,path,0
CEU,35005869.95144507,9041.107424271122,path,0
CEU,41986328.05338067,9041.107424271122,path,0
CEU,50358746.85734895,9041.107424271122,path,0
CEU,60400694.76469395,9041.107424271122,path,0
CEU,72445089.5966909,9041.107424271122,path,0
CEU,86891235.72367197,9041.107424271122,path,0
CEU,104218062.08838752,9041.107424271122,path,0
CEU,124999999.99999997,26110.173981408847,path,0
